t_sec,joint,current_rad,command_rad
0.0006,shoulder_yaw,1.1689353783047714e-18,0.0
0.0006,shoulder_pitch,-0.24784173693563336,0.0
0.0006,elbow_pitch,0.8188504004777991,1.0
0.0006,wrist_yaw,2.734723216492832e-19,0.0
0.0386,shoulder_yaw,0.005196754428791838,0.005725739419382874
0.0386,shoulder_pitch,-0.12243622080839657,0.0053437119533350395
0.0386,elbow_pitch,1.000180407680562,1.0068699528107816
0.0386,wrist_yaw,-2.549114612781019e-05,0.0
0.0724,shoulder_yaw,0.009857317883675238,0.010776978091171148
0.0724,shoulder_pitch,0.05516722092618935,0.01005643509044842
0.0724,elbow_pitch,1.0415949425563815,1.0129261408405132
0.0724,wrist_yaw,8.849358255314925e-06,0.0
0.1109,shoulder_yaw,0.01504198630933678,0.01657526024169774
0.1109,shoulder_pitch,0.09303639831436271,0.015462678700773903
0.1109,elbow_pitch,0.9987050957896725,1.0198676241535805
0.1109,wrist_yaw,4.151860887768485e-06,0.0
0.1468,shoulder_yaw,0.02121764153034986,0.021936787958262826
0.1468,shoulder_pitch,0.07935513981068687,0.020456786427169308
0.1468,elbow_pitch,0.9197110439944656,1.026271516596477
0.1468,wrist_yaw,-2.800974466293616e-06,0.0
0.1812,shoulder_yaw,0.027435753564095874,0.02707548473650768
0.1812,shoulder_pitch,0.05646717402204704,0.0252374236841514
0.1812,elbow_pitch,0.8334628030739879,1.0323915472689702
0.1812,wrist_yaw,-2.996898211600292e-06,0.0
0.215,shoulder_yaw,0.032498483693406445,0.032106945256508874
0.215,shoulder_pitch,0.0328875290953672,0.02991134186412572
0.215,elbow_pitch,0.7536331546088731,1.038363034910808
0.215,wrist_yaw,1.1472147369901604e-06,0.0
0.2536,shoulder_yaw,0.036801491911396006,0.03787132669211716
0.2536,shoulder_pitch,0.015182324129456772,0.035255936449791025
0.2536,elbow_pitch,0.688834951372037,1.0451739654463907
0.2536,wrist_yaw,9.98600963211146e-07,0.0
0.2923,shoulder_yaw,0.040930769073167485,0.043616367277422484
0.2923,shoulder_pitch,0.0068200804269002175,0.04056989561089317
0.2923,elbow_pitch,0.6432267131488879,1.0519240661654805
0.2923,wrist_yaw,-5.627133564349953e-07,0.0
0.3294,shoulder_yaw,0.04515740848465112,0.04911615794783631
0.3294,shoulder_pitch,0.008258431930515297,0.04564326292288973
0.3294,elbow_pitch,0.6175516058217554,1.0583449668128815
0.3294,wrist_yaw,-1.2506146384212927e-06,0.0
0.364,shoulder_yaw,0.04949619644381428,0.0541823772044444
0.364,shoulder_pitch,0.01762517921385344,0.05030320308895057
0.364,elbow_pitch,0.6101368313852058,1.0642194965583298
0.364,wrist_yaw,-8.910652657924734e-07,0.0
0.4024,shoulder_yaw,0.05408949557925565,0.059870392085725484
0.4024,shoulder_pitch,0.032003693460180574,0.055517846181992216
0.4024,elbow_pitch,0.6179468636484917,1.0707637106627912
0.4024,wrist_yaw,-1.1750270820359804e-06,0.0
0.441,shoulder_yaw,0.05896554193682444,0.06555994835171729
0.441,shoulder_pitch,0.048197847985022683,0.06071366068998862
0.441,elbow_pitch,0.6371818172413485,1.0772494971877549
0.441,wrist_yaw,-9.612823100333096e-07,0.0
0.4796,shoulder_yaw,0.06404499805097091,0.07119858248182193
0.4796,shoulder_pitch,0.06351402053269772,0.06584089197321276
0.4796,elbow_pitch,0.6638461096974841,1.0836116809269154
0.4796,wrist_yaw,-2.849498351142499e-07,0.0
0.5135,shoulder_yaw,0.06900363901093262,0.07613060770503596
0.5135,shoulder_pitch,0.07277042593775046,0.0703058887682109
0.5135,elbow_pitch,0.6931820587209588,1.0891181655605995
0.5135,wrist_yaw,1.3550010298105783e-06,0.0
0.5481,shoulder_yaw,0.07372753919089427,0.08114613093753371
0.5481,shoulder_pitch,0.0742005921878804,0.07482601420744092
0.5481,elbow_pitch,0.7218749573787102,1.0946573465630507
0.5481,wrist_yaw,1.7772358489250071e-06,0.0
0.5856,shoulder_yaw,0.07836374849074945,0.08654055603612419
0.5856,shoulder_pitch,0.06913506750256992,0.0796627562784114
0.5856,elbow_pitch,0.7480237026033548,1.1005416036455478
0.5856,wrist_yaw,9.633068431751494e-07,0.0
0.6237,shoulder_yaw,0.08303973177697384,0.0919884395210027
0.6237,shoulder_pitch,0.060063450851653793,0.08451922415093296
0.6237,elbow_pitch,0.7705432664643058,1.106401096186652
0.6237,wrist_yaw,2.577447655204521e-07,0.0
0.6575,shoulder_yaw,0.08760484377803868,0.09680211893290246
0.6575,shoulder_pitch,0.049466808234657385,0.08878498803533343
0.6575,elbow_pitch,0.7888040976931301,1.1115039835496474
